epoch,train_loss,train_accuracy,test_accuracy
1,1.1669700733947754,0.2835,0.3564
2,1.1669700733947754,0.39156,0.4416
3,1.1669700733947754,0.43786,0.4655
4,1.1669700733947754,0.4675,0.4817
5,1.1669700733947754,0.49192,0.5182
6,1.1669700733947754,0.51264,0.533
7,1.1669700733947754,0.52946,0.5459
8,1.1669700733947754,0.54966,0.5614
9,1.1669700733947754,0.56688,0.5856
10,1.1669700733947754,0.58454,0.5878
